Frequency [Hz], |S02| [-], |S12| [-], |S22| [-], |S32| [-], Arg(S02) [-], Arg(S12) [-], Arg(S22) [-], Arg(S32) [-], Delay 2>0 [s], Delay 2>1 [s], Delay 2>2 [s], Delay 2>3 [s], |Z2| [Ohm] , Arg(Z2) [-]
2.000000e+08, 2.575860e-02, 1.131579e-02, 6.466350e-02, 1.004979e+00, 1.088952e+00, -2.044312e+00, 2.466366e+00, -4.259309e-01, 3.529976e-10, 4.767505e-10, 6.345689e-10, 3.327230e-10, 4.520259e+01, 8.100077e-02
2.038000e+08, 2.632946e-02, 1.154398e-02, 6.452212e-02, 1.004954e+00, 1.080524e+00, -2.055695e+00, 2.451215e+00, -4.338750e-01, 3.513313e-10, 4.764904e-10, 6.337922e-10, 3.328267e-10, 4.526868e+01, 8.233601e-02
2.076000e+08, 2.689617e-02, 1.177046e-02, 6.437850e-02, 1.004930e+00, 1.072135e+00, -2.067072e+00, 2.436083e+00, -4.418216e-01, 3.498564e-10, 4.757242e-10, 6.331279e-10, 3.329249e-10, 4.533573e+01, 8.364076e-02
2.114000e+08, 2.745884e-02, 1.199529e-02, 6.423265e-02, 1.004907e+00, 1.063782e+00, -2.078430e+00, 2.420966e+00, -4.497706e-01, 3.485473e-10, 4.745616e-10, 6.325706e-10, 3.330180e-10, 4.540372e+01, 8.491505e-02
2.152000e+08, 2.801760e-02, 1.221853e-02, 6.408457e-02, 1.004883e+00, 1.055460e+00, -2.089761e+00, 2.405863e+00, -4.577217e-01, 3.473822e-10, 4.730952e-10, 6.321156e-10, 3.331063e-10, 4.547263e+01, 8.615885e-02
2.190000e+08, 2.857257e-02, 1.244025e-02, 6.393430e-02, 1.004859e+00, 1.047166e+00, -2.101057e+00, 2.390770e+00, -4.656750e-01, 3.463423e-10, 4.714023e-10, 6.317584e-10, 3.331903e-10, 4.554245e+01, 8.737214e-02
2.228000e+08, 2.912383e-02, 1.266050e-02, 6.378183e-02, 1.004835e+00, 1.038897e+00, -2.112312e+00, 2.375686e+00, -4.736303e-01, 3.454118e-10, 4.695468e-10, 6.314953e-10, 3.332703e-10, 4.561316e+01, 8.855491e-02
2.266000e+08, 2.967147e-02, 1.287935e-02, 6.362720e-02, 1.004812e+00, 1.030650e+00, -2.123523e+00, 2.360609e+00, -4.815875e-01, 3.445769e-10, 4.675806e-10, 6.313225e-10, 3.333466e-10, 4.568474e+01, 8.970711e-02
2.304000e+08, 3.021560e-02, 1.309687e-02, 6.347042e-02, 1.004789e+00, 1.022422e+00, -2.134687e+00, 2.345535e+00, -4.895465e-01, 3.438259e-10, 4.655457e-10, 6.312371e-10, 3.334194e-10, 4.575718e+01, 9.082870e-02
2.342000e+08, 3.075627e-02, 1.331311e-02, 6.331150e-02, 1.004765e+00, 1.014213e+00, -2.145802e+00, 2.330464e+00, -4.975073e-01, 3.431487e-10, 4.634754e-10, 6.312359e-10, 3.334890e-10, 4.583046e+01, 9.191965e-02
2.380000e+08, 3.129357e-02, 1.352813e-02, 6.315048e-02, 1.004742e+00, 1.006020e+00, -2.156868e+00, 2.315392e+00, -5.054697e-01, 3.425362e-10, 4.613963e-10, 6.313164e-10, 3.335557e-10, 4.590457e+01, 9.297990e-02
2.418000e+08, 3.182756e-02, 1.374199e-02, 6.298737e-02, 1.004719e+00, 9.978418e-01, -2.167885e+00, 2.300319e+00, -5.134337e-01, 3.419811e-10, 4.593286e-10, 6.314763e-10, 3.336196e-10, 4.597948e+01, 9.400939e-02
2.456000e+08, 3.235830e-02, 1.395474e-02, 6.282219e-02, 1.004696e+00, 9.896766e-01, -2.178852e+00, 2.285242e+00, -5.213993e-01, 3.414764e-10, 4.572880e-10, 6.317133e-10, 3.336809e-10, 4.605517e+01, 9.500809e-02
2.494000e+08, 3.288586e-02, 1.416641e-02, 6.265497e-02, 1.004674e+00, 9.815235e-01, -2.189770e+00, 2.270159e+00, -5.293663e-01, 3.410165e-10, 4.552862e-10, 6.320255e-10, 3.337399e-10, 4.613164e+01, 9.597592e-02
2.532000e+08, 3.341029e-02, 1.437705e-02, 6.248574e-02, 1.004651e+00, 9.733813e-01, -2.200640e+00, 2.255069e+00, -5.373347e-01, 3.405962e-10, 4.533318e-10, 6.324112e-10, 3.337967e-10, 4.620886e+01, 9.691284e-02
2.570000e+08, 3.393163e-02, 1.458671e-02, 6.231451e-02, 1.004629e+00, 9.652492e-01, -2.211464e+00, 2.239969e+00, -5.453044e-01, 3.402110e-10, 4.514305e-10, 6.328687e-10, 3.338514e-10, 4.628682e+01, 9.781879e-02
2.608000e+08, 3.444995e-02, 1.479540e-02, 6.214133e-02, 1.004606e+00, 9.571263e-01, -2.222243e+00, 2.224859e+00, -5.532755e-01, 3.398571e-10, 4.495864e-10, 6.333966e-10, 3.339042e-10, 4.636549e+01, 9.869371e-02
2.646000e+08, 3.496528e-02, 1.500316e-02, 6.196621e-02, 1.004584e+00, 9.490118e-01, -2.232977e+00, 2.209736e+00, -5.612478e-01, 3.395311e-10, 4.478017e-10, 6.339937e-10, 3.339553e-10, 4.644486e+01, 9.953755e-02
2.684000e+08, 3.547768e-02, 1.521003e-02, 6.178918e-02, 1.004562e+00, 9.409052e-01, -2.243669e+00, 2.194598e+00, -5.692214e-01, 3.392299e-10, 4.460774e-10, 6.346587e-10, 3.340047e-10, 4.652491e+01, 1.003503e-01
2.722000e+08, 3.598718e-02, 1.541601e-02, 6.161028e-02, 1.004540e+00, 9.328057e-01, -2.254319e+00, 2.179445e+00, -5.771961e-01, 3.389508e-10, 4.444137e-10, 6.353905e-10, 3.340526e-10, 4.660563e+01, 1.011318e-01
