Frequency [Hz], |S00| [-], |S10| [-], Arg(S00) [-], Arg(S10) [-], Delay 0>0 [s], Delay 0>1 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 5.918009e-02, 1.003915e+00, 3.041743e+00, -3.713923e-01, 5.952123e-11, 2.921509e-10, 4.443912e+01, 1.183952e-02
2.038000e+08, 5.894444e-02, 1.003852e+00, 3.040322e+00, -3.783677e-01, 5.595941e-11, 2.920908e-10, 4.446079e+01, 1.195930e-02
2.076000e+08, 5.870539e-02, 1.003790e+00, 3.038986e+00, -3.853417e-01, 5.233495e-11, 2.920307e-10, 4.448273e+01, 1.206704e-02
2.114000e+08, 5.846298e-02, 1.003728e+00, 3.037736e+00, -3.923142e-01, 4.864380e-11, 2.919709e-10, 4.450493e+01, 1.216268e-02
2.152000e+08, 5.821728e-02, 1.003667e+00, 3.036575e+00, -3.992854e-01, 4.488201e-11, 2.919114e-10, 4.452740e+01, 1.224615e-02
2.190000e+08, 5.796834e-02, 1.003606e+00, 3.035503e+00, -4.062551e-01, 4.104573e-11, 2.918525e-10, 4.455011e+01, 1.231738e-02
2.228000e+08, 5.771624e-02, 1.003546e+00, 3.034523e+00, -4.132234e-01, 3.713119e-11, 2.917943e-10, 4.457306e+01, 1.237630e-02
2.266000e+08, 5.746103e-02, 1.003487e+00, 3.033637e+00, -4.201903e-01, 3.313468e-11, 2.917370e-10, 4.459625e+01, 1.242283e-02
2.304000e+08, 5.720279e-02, 1.003428e+00, 3.032845e+00, -4.271558e-01, 2.905254e-11, 2.916806e-10, 4.461967e+01, 1.245690e-02
2.342000e+08, 5.694158e-02, 1.003370e+00, 3.032152e+00, -4.341200e-01, 2.488116e-11, 2.916253e-10, 4.464331e+01, 1.247842e-02
2.380000e+08, 5.667748e-02, 1.003313e+00, 3.031558e+00, -4.410829e-01, 2.061698e-11, 2.915712e-10, 4.466716e+01, 1.248732e-02
2.418000e+08, 5.641057e-02, 1.003257e+00, 3.031065e+00, -4.480445e-01, 1.625645e-11, 2.915185e-10, 4.469121e+01, 1.248351e-02
2.456000e+08, 5.614093e-02, 1.003201e+00, 3.030677e+00, -4.550048e-01, 1.179605e-11, 2.914672e-10, 4.471546e+01, 1.246691e-02
2.494000e+08, 5.586863e-02, 1.003147e+00, 3.030396e+00, -4.619639e-01, 7.232300e-12, 2.914173e-10, 4.473990e+01, 1.243744e-02
2.532000e+08, 5.559377e-02, 1.003094e+00, 3.030223e+00, -4.689218e-01, 2.561705e-12, 2.913692e-10, 4.476452e+01, 1.239501e-02
2.570000e+08, 5.531643e-02, 1.003041e+00, 3.030162e+00, -4.758786e-01, -2.219191e-12, 2.913227e-10, 4.478931e+01, 1.233955e-02
2.608000e+08, 5.503671e-02, 1.002990e+00, 3.030215e+00, -4.828342e-01, -7.113836e-12, 2.912779e-10, 4.481426e+01, 1.227096e-02
2.646000e+08, 5.475469e-02, 1.002940e+00, 3.030385e+00, -4.897888e-01, -1.212566e-11, 2.912351e-10, 4.483937e+01, 1.218917e-02
2.684000e+08, 5.447048e-02, 1.002891e+00, 3.030674e+00, -4.967424e-01, -1.725809e-11, 2.911941e-10, 4.486462e+01, 1.209410e-02
2.722000e+08, 5.418417e-02, 1.002843e+00, 3.031086e+00, -5.036949e-01, -2.251452e-11, 2.911552e-10, 4.489001e+01, 1.198566e-02
2.760000e+08, 5.389587e-02, 1.002797e+00, 3.031624e+00, -5.106466e-01, -2.789832e-11, 2.911182e-10, 4.491552e+01, 1.186376e-02
2.798000e+08, 5.360570e-02, 1.002751e+00, 3.032290e+00, -5.175974e-01, -3.341285e-11, 2.910834e-10, 4.494116e+01, 1.172835e-02
2.836000e+08, 5.331376e-02, 1.002707e+00, 3.033088e+00, -5.245473e-01, -3.906141e-11, 2.910507e-10, 4.496690e+01, 1.157932e-02
2.874000e+08, 5.302017e-02, 1.002664e+00, 3.034020e+00, -5.314965e-01, -4.484730e-11, 2.910202e-10, 4.499274e+01, 1.141662e-02
2.912000e+08, 5.272504e-02, 1.002623e+00, 3.035091e+00, -5.384449e-01, -5.077374e-11, 2.909920e-10, 4.501868e+01, 1.124016e-02
2.950000e+08, 5.242852e-02, 1.002583e+00, 3.036303e+00, -5.453926e-01, -5.684390e-11, 2.909660e-10, 4.504469e+01, 1.104986e-02
2.988000e+08, 5.213071e-02, 1.002544e+00, 3.037661e+00, -5.523398e-01, -6.306089e-11, 2.909422e-10, 4.507078e+01, 1.084566e-02
