Frequency [Hz], |S00| [-], |S10| [-], |S20| [-], |S30| [-], Arg(S00) [-], Arg(S10) [-], Arg(S20) [-], Arg(S30) [-], Delay 0>0 [s], Delay 0>1 [s], Delay 0>2 [s], Delay 0>3 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 6.558071e-02, 9.884189e-01, 2.708699e-02, 1.137369e-02, 2.526752e+00, -4.267120e-01, 1.064880e+00, -2.139035e+00, 6.153562e-10, 3.292405e-10, 3.051399e-10, 3.757467e-10, 4.492224e+01, 7.583870e-02
2.038000e+08, 6.548057e-02, 9.883558e-01, 2.760859e-02, 1.160066e-02, 2.512060e+00, -4.345730e-01, 1.057594e+00, -2.148007e+00, 6.121173e-10, 3.294485e-10, 3.068176e-10, 3.761753e-10, 4.498035e+01, 7.728345e-02
2.076000e+08, 6.537791e-02, 9.882924e-01, 2.812756e-02, 1.182712e-02, 2.497445e+00, -4.424389e-01, 1.050269e+00, -2.156988e+00, 6.090495e-10, 3.296466e-10, 3.083742e-10, 3.765994e-10, 4.503930e+01, 7.869535e-02
2.114000e+08, 6.527264e-02, 9.882287e-01, 2.864397e-02, 1.205306e-02, 2.482903e+00, -4.503096e-01, 1.042906e+00, -2.165980e+00, 6.061445e-10, 3.298355e-10, 3.098196e-10, 3.770184e-10, 4.509909e+01, 8.007462e-02
2.152000e+08, 6.516468e-02, 9.881647e-01, 2.915786e-02, 1.227845e-02, 2.468431e+00, -4.581848e-01, 1.035509e+00, -2.174982e+00, 6.033947e-10, 3.300158e-10, 3.111632e-10, 3.774316e-10, 4.515969e+01, 8.142144e-02
2.190000e+08, 6.505397e-02, 9.881004e-01, 2.966927e-02, 1.250329e-02, 2.454024e+00, -4.660643e-01, 1.028079e+00, -2.183993e+00, 6.007935e-10, 3.301881e-10, 3.124130e-10, 3.778386e-10, 4.522110e+01, 8.273599e-02
2.228000e+08, 6.494045e-02, 9.880359e-01, 3.017823e-02, 1.272755e-02, 2.439679e+00, -4.739479e-01, 1.020620e+00, -2.193015e+00, 5.983346e-10, 3.303530e-10, 3.135764e-10, 3.782388e-10, 4.528330e+01, 8.401840e-02
2.266000e+08, 6.482404e-02, 9.879712e-01, 3.068479e-02, 1.295123e-02, 2.425393e+00, -4.818354e-01, 1.013133e+00, -2.202046e+00, 5.960126e-10, 3.305110e-10, 3.146603e-10, 3.786317e-10, 4.534628e+01, 8.526882e-02
2.304000e+08, 6.470470e-02, 9.879063e-01, 3.118898e-02, 1.317429e-02, 2.411163e+00, -4.897268e-01, 1.005620e+00, -2.211086e+00, 5.938226e-10, 3.306626e-10, 3.156707e-10, 3.790170e-10, 4.541003e+01, 8.648735e-02
2.342000e+08, 6.458236e-02, 9.878412e-01, 3.169081e-02, 1.339674e-02, 2.396985e+00, -4.976217e-01, 9.980834e-01, -2.220135e+00, 5.917599e-10, 3.308082e-10, 3.166130e-10, 3.793942e-10, 4.547452e+01, 8.767409e-02
2.380000e+08, 6.445698e-02, 9.877759e-01, 3.219033e-02, 1.361856e-02, 2.382856e+00, -5.055201e-01, 9.905239e-01, -2.229194e+00, 5.898206e-10, 3.309481e-10, 3.174924e-10, 3.797630e-10, 4.553975e+01, 8.882915e-02
2.418000e+08, 6.432851e-02, 9.877105e-01, 3.268755e-02, 1.383973e-02, 2.368773e+00, -5.134218e-01, 9.829434e-01, -2.238261e+00, 5.880010e-10, 3.310828e-10, 3.183134e-10, 3.801232e-10, 4.560570e+01, 8.995259e-02
2.456000e+08, 6.419691e-02, 9.876450e-01, 3.318250e-02, 1.406025e-02, 2.354734e+00, -5.213268e-01, 9.753434e-01, -2.247337e+00, 5.862978e-10, 3.312125e-10, 3.190803e-10, 3.804743e-10, 4.567235e+01, 9.104450e-02
