Frequency [Hz], |S00| [-], |S10| [-], Arg(S00) [-], Arg(S10) [-], Delay 0>0 [s], Delay 0>1 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 7.649876e-02, 1.004896e+00, 2.589365e+00, -3.334498e-01, 4.133151e-10, 2.688869e-10, 4.389472e+01, 8.055799e-02
2.038000e+08, 7.631989e-02, 1.004933e+00, 2.579496e+00, -3.398697e-01, 4.150690e-10, 2.687636e-10, 4.394345e+01, 8.164579e-02
2.076000e+08, 7.613909e-02, 1.004973e+00, 2.569586e+00, -3.462868e-01, 4.167956e-10, 2.686490e-10, 4.399291e+01, 8.272271e-02
2.114000e+08, 7.595641e-02, 1.005014e+00, 2.559635e+00, -3.527010e-01, 4.184979e-10, 2.685428e-10, 4.404310e+01, 8.378841e-02
2.152000e+08, 7.577191e-02, 1.005058e+00, 2.549643e+00, -3.591128e-01, 4.201785e-10, 2.684447e-10, 4.409400e+01, 8.484261e-02
2.190000e+08, 7.558565e-02, 1.005105e+00, 2.539610e+00, -3.655222e-01, 4.218395e-10, 2.683544e-10, 4.414561e+01, 8.588499e-02
2.228000e+08, 7.539767e-02, 1.005153e+00, 2.529538e+00, -3.719295e-01, 4.234833e-10, 2.682717e-10, 4.419791e+01, 8.691528e-02
2.266000e+08, 7.520804e-02, 1.005204e+00, 2.519427e+00, -3.783348e-01, 4.251116e-10, 2.681963e-10, 4.425090e+01, 8.793322e-02
2.304000e+08, 7.501680e-02, 1.005257e+00, 2.509277e+00, -3.847382e-01, 4.267263e-10, 2.681280e-10, 4.430457e+01, 8.893854e-02
2.342000e+08, 7.482401e-02, 1.005312e+00, 2.499089e+00, -3.911401e-01, 4.283290e-10, 2.680664e-10, 4.435891e+01, 8.993101e-02
2.380000e+08, 7.462973e-02, 1.005369e+00, 2.488862e+00, -3.975405e-01, 4.299211e-10, 2.680115e-10, 4.441391e+01, 9.091038e-02
2.418000e+08, 7.443400e-02, 1.005428e+00, 2.478597e+00, -4.039395e-01, 4.315040e-10, 2.679629e-10, 4.446956e+01, 9.187644e-02
2.456000e+08, 7.423688e-02, 1.005490e+00, 2.468294e+00, -4.103375e-01, 4.330788e-10, 2.679205e-10, 4.452586e+01, 9.282896e-02
2.494000e+08, 7.403842e-02, 1.005553e+00, 2.457954e+00, -4.167344e-01, 4.346467e-10, 2.678841e-10, 4.458279e+01, 9.376774e-02
2.532000e+08, 7.383868e-02, 1.005619e+00, 2.447577e+00, -4.231304e-01, 4.362087e-10, 2.678534e-10, 4.464034e+01, 9.469257e-02
2.570000e+08, 7.363770e-02, 1.005686e+00, 2.437162e+00, -4.295257e-01, 4.377657e-10, 2.678282e-10, 4.469852e+01, 9.560327e-02
