Frequency [Hz], |S00| [-], Arg(S00) [-], Delay 0>0 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 9.973728e-01, -5.740987e-01, 4.584540e-10, 1.693738e+02, -1.565952e+00
2.038000e+08, 9.974660e-01, -5.850448e-01, 4.581050e-10, 1.660222e+02, -1.566202e+00
2.076000e+08, 9.975608e-01, -5.959825e-01, 4.577636e-10, 1.627927e+02, -1.566446e+00
2.114000e+08, 9.976572e-01, -6.069122e-01, 4.574292e-10, 1.596785e+02, -1.566684e+00
2.152000e+08, 9.977551e-01, -6.178338e-01, 4.571011e-10, 1.566732e+02, -1.566917e+00
2.190000e+08, 9.978542e-01, -6.287476e-01, 4.567788e-10, 1.537711e+02, -1.567144e+00
2.228000e+08, 9.979546e-01, -6.396537e-01, 4.564618e-10, 1.509667e+02, -1.567366e+00
2.266000e+08, 9.980561e-01, -6.505522e-01, 4.561497e-10, 1.482551e+02, -1.567583e+00
2.304000e+08, 9.981585e-01, -6.614433e-01, 4.558419e-10, 1.456314e+02, -1.567796e+00
2.342000e+08, 9.982617e-01, -6.723270e-01, 4.555380e-10, 1.430913e+02, -1.568003e+00
2.380000e+08, 9.983656e-01, -6.832035e-01, 4.552375e-10, 1.406308e+02, -1.568205e+00
2.418000e+08, 9.984701e-01, -6.940728e-01, 4.549400e-10, 1.382459e+02, -1.568403e+00
2.456000e+08, 9.985749e-01, -7.049350e-01, 4.546452e-10, 1.359331e+02, -1.568596e+00
2.494000e+08, 9.986801e-01, -7.157901e-01, 4.543525e-10, 1.336891e+02, -1.568784e+00
2.532000e+08, 9.987853e-01, -7.266383e-01, 4.540616e-10, 1.315106e+02, -1.568967e+00
2.570000e+08, 9.988905e-01, -7.374795e-01, 4.537721e-10, 1.293948e+02, -1.569145e+00
2.608000e+08, 9.989956e-01, -7.483138e-01, 4.534836e-10, 1.273387e+02, -1.569319e+00
2.646000e+08, 9.991004e-01, -7.591412e-01, 4.531958e-10, 1.253399e+02, -1.569489e+00
